timestamp,raw_value,attention,label
1644035724.982058,16,0,0
1644035724.983263,28,0,0
1644035724.985781,37,0,0
1644035724.9872,42,0,0
1644035724.9872499,51,0,0
1644035724.987296,57,0,0
1644035724.9873421,65,0,0
1644035724.987387,64,0,0
1644035724.987432,58,0,0
1644035724.987478,53,0,0
1644035724.988279,48,0,0
1644035724.989532,39,0,0
1644035724.990826,34,0,0
1644035724.9925709,23,0,0
1644035724.9948108,12,0,0
1644035724.997194,1,0,0
1644035724.998292,-9,0,0
1644035724.999655,-24,0,0
1644035725.002132,-38,0,0
1644035725.004562,-40,0,0
1644035725.0057669,-20,0,0
1644035725.0083652,-1,0,0
1644035725.009526,0,0,0
1644035725.0120041,-6,0,0
1644035725.013313,-11,0,0
1644035725.015759,-13,0,0
1644035725.018337,-13,0,0
1644035725.0195022,-7,0,0
1644035725.0222101,6,0,0
1644035725.023273,12,0,0
1644035725.025791,8,0,0
1644035725.027009,6,0,0
1644035725.0295029,13,0,0
1644035725.032028,18,0,0
1644035725.033254,33,0,0
1644035725.037042,50,0,0
1644035725.0382779,55,0,0
1644035725.039532,49,0,0
1644035725.0421062,44,0,0
1644035725.043333,49,0,0
1644035725.044536,57,0,0
1644035725.04703,66,0,0
1644035725.049524,59,0,0
1644035725.050953,54,0,0
1644035725.053377,58,0,0
1644035725.0773902,70,0,0
1644035725.078677,76,0,0
1644035725.080944,75,0,0
1644035725.084606,60,0,0
1644035725.084707,50,0,0
1644035725.084799,43,0,0
1644035725.084888,21,0,0
1644035725.0849779,-6,0,0
1644035725.085068,-4,0,0
1644035725.0851572,28,0,0
1644035725.0852458,68,0,0
1644035725.085336,86,0,0
1644035725.085422,70,0,0
1644035725.085508,50,0,0
1644035725.085943,54,0,0
1644035725.0873332,67,0,0
1644035725.089691,57,0,0
1644035725.091033,44,0,0
1644035725.092413,33,0,0
1644035725.093418,20,0,0
1644035725.0961359,5,0,0
1644035725.097344,-3,0,0
1644035725.098631,-9,0,0
1644035725.100024,-8,0,0
1644035725.102402,-5,0,0
1644035725.1036348,2,0,0
1644035725.14237,13,0,0
1644035725.1434739,13,0,0
1644035725.144647,3,0,0
1644035725.145857,-1,0,0
1644035725.147198,18,0,0
1644035725.150882,42,0,0
1644035725.150949,67,0,0
1644035725.151009,90,0,0
1644035725.151068,102,0,0
1644035725.151127,86,0,0
1644035725.1511848,71,0,0
1644035725.151243,76,0,0
1644035725.1513019,81,0,0
1644035725.15136,74,0,0
1644035725.151417,55,0,0
1644035725.1514728,33,0,0
1644035725.151529,10,0,0
1644035725.151585,11,0,0
1644035725.151659,36,0,0
1644035725.151716,54,0,0
1644035725.151772,54,0,0
1644035725.151828,40,0,0
1644035725.152033,25,0,0
1644035725.153724,27,0,0
1644035725.154752,53,0,0
1644035725.155852,72,0,0
1644035725.1571572,68,0,0
1644035725.15966,51,0,0
1644035725.161089,34,0,0
1644035725.162314,20,0,0
1644035725.164787,13,0,0
1644035725.166096,17,0,0
1644035725.1686232,8,0,0
1644035725.169865,1,0,0
1644035725.1724002,-11,0,0
1644035725.174688,-13,0,0
1644035725.1760828,1,0,0
1644035725.178644,20,0,0
1644035725.179824,28,0,0
1644035725.182369,22,0,0
1644035725.1836648,10,0,0
1644035725.186107,11,0,0
1644035725.1884868,19,0,0
1644035725.189615,24,0,0
1644035725.1909661,24,0,0
1644035725.193426,32,0,0
1644035725.1961548,44,0,0
1644035725.1973429,42,0,0
1644035725.199896,36,0,0
1644035725.201133,40,0,0
1644035725.203731,42,0,0
1644035725.2048378,49,0,0
1644035725.207196,40,0,0
1644035725.2096472,27,0,0
1644035725.211135,40,0,0
1644035725.2136488,52,0,0
1644035725.21488,50,0,0
1644035725.22109,39,0,0
1644035725.222323,41,0,0
1644035725.223395,55,0,0
1644035725.224706,67,0,0
1644035725.2259169,64,0,0
1644035725.2271261,45,0,0
1644035725.2284591,41,0,0
1644035725.230886,51,0,0
1644035725.2321348,69,0,0
1644035725.234896,90,0,0
1644035725.237346,105,0,0
1644035725.238685,106,0,0
1644035725.240931,100,0,0
1644035725.242215,77,0,0
1644035725.244668,54,0,0
1644035725.246128,38,0,0
1644035725.248554,35,0,0
1644035725.2498188,28,0,0
1644035725.252395,28,0,0
1644035725.2548459,26,0,0
1644035725.256052,16,0,0
1644035725.258528,0,0,0
1644035725.260046,-22,0,0
1644035725.262352,-34,0,0
1644035725.26336,-19,0,0
1644035725.266146,8,0,0
1644035725.2673721,19,0,0
1644035725.2698529,13,0,0
1644035725.272344,34,0,0
1644035725.273411,70,0,0
1644035725.275989,103,0,0
1644035725.2774332,105,0,0
1644035725.279851,87,0,0
1644035725.2809331,75,0,0
1644035725.2834969,55,0,0
1644035725.28609,27,0,0
1644035725.287384,12,0,0
1644035725.2897651,8,0,0
1644035725.290878,8,0,0
1644035725.2935,8,0,0
1644035725.294941,-7,0,0
1644035725.297536,-13,0,0
1644035725.299882,10,0,0
1644035725.3010821,44,0,0
1644035725.3036458,59,0,0
1644035725.3061109,52,0,0
1644035725.307143,41,0,0
1644035725.308406,39,0,0
1644035725.310923,33,0,0
1644035725.3134458,22,0,0
1644035725.314666,18,0,0
1644035725.317295,18,0,0
1644035725.31854,17,0,0
1644035725.32115,21,0,0
1644035725.322348,38,0,0
1644035725.324667,50,0,0
1644035725.327425,58,0,0
1644035725.3286662,59,0,0
1644035725.329866,44,0,0
1644035725.332302,28,0,0
1644035725.335157,16,0,0
1644035725.3361752,1,0,0
1644035725.338627,8,0,0
1644035725.339734,28,0,0
1644035725.342177,50,0,0
1644035725.344943,56,0,0
1644035725.3461618,52,0,0
1644035725.3473752,40,0,0
1644035725.349922,43,0,0
1644035725.3525062,48,0,0
1644035725.3536608,37,0,0
1644035725.355967,20,0,0
1644035725.3571498,3,0,0
1644035725.359722,-4,0,0
1644035725.3611531,3,0,0
1644035725.363689,26,0,0
1644035725.3662,37,0,0
1644035725.367424,24,0,0
1644035725.3699079,2,0,0
1644035725.370933,-3,0,0
1644035725.373481,11,0,0
1644035725.3761852,28,0,0
1644035725.377418,35,0,0
1644035725.378677,39,0,0
1644035725.380979,55,0,0
1644035725.383683,61,0,0
1644035725.384896,55,0,0
1644035725.387437,50,0,0
1644035725.3889642,51,0,0
1644035725.3909829,48,0,0
1644035725.393504,29,0,0
1644035725.395045,9,0,0
1644035725.397412,-3,0,0
1644035725.3986602,-10,0,0
1644035725.402514,-2,0,0
1644035725.403711,28,0,0
1644035725.4048152,66,0,0
1644035725.446172,70,0,0
1644035725.447447,48,0,0
1644035725.449932,33,0,0
1644035725.453808,40,0,0
1644035725.453911,68,0,0
1644035725.454004,85,0,0
1644035725.4540958,69,0,0
1644035725.454186,53,0,0
1644035725.4542751,41,0,0
1644035725.4543989,39,0,0
1644035725.454583,44,0,0
1644035725.454669,49,0,0
1644035725.454754,39,0,0
1644035725.454839,20,0,0
1644035725.454925,3,0,0
1644035725.4550111,-6,0,0
1644035725.455096,-5,0,0
1644035725.4551811,10,0,0
1644035725.455265,26,0,0
1644035725.455667,45,0,0
1644035725.455837,65,0,0
1644035725.45598,68,0,0
1644035725.456117,59,0,0
1644035725.456259,44,0,0
1644035725.456407,43,0,0
1644035725.45713,54,0,0
1644035725.458432,56,0,0
1644035725.459667,41,0,0
1644035725.462416,33,0,0
1644035725.4637172,22,0,0
1644035725.4649029,13,0,0
1644035725.467655,25,0,0
1644035725.468533,48,0,0
1644035725.471127,64,0,0
1644035725.487316,58,0,0
1644035725.488759,40,0,0
1644035725.4897048,38,0,0
1644035725.492152,53,0,0
